"Microrregiao","Media_X2","Min_X2","Max_X2","SD_X2"
"LAVRAS",0.995178722933646,0.981247069854665,1,0.00517685062215909
"ITAUNA",0.994956081769188,0.987333333333333,1,0.0038986982188896
"BELO_HORIZONTE_NOVA_LIMA_CAETE",0.993642924749564,0.972004394438762,0.999050232165471,0.00716440694755899
"DIAMANTINA",0.993065974409702,0.985808413583376,0.999499749874938,0.00290834069824252
"CONSELHEIRO_LAFAIETE_CONGONHAS",0.992322910335404,0.982207478890229,0.998697068403909,0.00490719932899392
"PATROCINIO_MONTE_CARMELO",0.991854154104237,0.965428276573787,1,0.0077458002293254
"SAO_LOURENCO_CAXAMBU",0.991239311285354,0.96506105834464,1,0.00885617926822287
"ALEM_PARAIBA",0.991021821906732,0.960648148148148,1,0.00822322163439093
"FORMIGA",0.990023043040558,0.963545981772991,1,0.0110675864264731
"ALFENAS_MACHADO",0.98957582699837,0.975941189574515,0.996911673872761,0.00531106475967683
"BARBACENA",0.989271034858783,0.975401771072483,1,0.00641570777285291
"BOM_DESPACHO",0.98894423477236,0.966735966735967,0.999237804878049,0.00854004172915064
"PONTE_NOVA",0.988880460735292,0.976542137271937,0.998975409836066,0.00755650774587098
"VESPASIANO",0.988554712096311,0.949828607042692,0.99822852081488,0.0120489013896287
"PASSOS_PIUMHI",0.988273063808422,0.979755178907721,1,0.00647431683897749
"CONTAGEM",0.988029810617582,0.940723270440252,0.998575498575499,0.0160346290371919
"ITAJUBA",0.987927787211303,0.972692706533011,1,0.00979190304757422
"GOVERNADOR_VALADARES",0.987866149542355,0.950083447124867,0.999186330349878,0.0104815744410713
"PIRAPORA",0.987779297541687,0.946570670708602,1,0.0154290139469964
"ITUIUTABA",0.987181756262436,0.93719156572454,0.999473129610116,0.012701114674016
"UBA",0.987049573713605,0.950605778191985,1,0.0107190255518514
"RESPLENDOR",0.986873173679262,0.971955128205128,0.995685936151855,0.00682152838660786
"MANTENA",0.986615360582014,0.974025974025974,0.994984954864594,0.00568815337711357
"PATOS_DE_MINAS",0.98653863412426,0.954122340425532,1,0.0133725927317898
"VICOSA",0.98649731427664,0.947682119205298,1,0.0139724041814672
"CARATINGA",0.985770432102776,0.92203118752499,1,0.0170977802777089
"TRES_CORACOES",0.985596213642441,0.923507462686567,1,0.0178975002043017
"POCOS_DE_CALDAS",0.985155820272558,0.953776041666667,0.999595469255663,0.0104828580971333
"DIVINOPOLIS",0.984583719282391,0.956348547717842,1,0.0123737697790726
"ITAOBIM",0.98432036273302,0.95417348608838,1,0.0127068450571552
"LEOPOLDINA_CATAGUASES",0.98423504271683,0.960449438202247,0.99941348973607,0.0120604467150644
"CORONEL_FABRICIANO",0.984040267261466,0.916176846409405,1,0.0185341291769974
"JOAO_MONLEVADE",0.983946368229383,0.970878835153406,0.998257839721254,0.00628260647248053
"SAO_SEBASTIAO_DO_PARAISO",0.983885910962917,0.937012597480504,1,0.0133693536317514
"TEOFILO_OTONI_MALACACHETA_ITAMBACURI",0.983876992981156,0.913503206794938,0.998832321345166,0.0224353148505141
"MONTES_CLAROS_BOCAIUVA",0.983580388096844,0.937712498300014,0.999422299248989,0.0178237519210489
"ITABIRA",0.983283446056645,0.93672131147541,0.999623352165725,0.0153745348868902
"JANAUBA_MONTE_AZUL",0.982630918936434,0.950620934358368,0.999688667496887,0.0141346484219136
"BETIM",0.982370501035957,0.95089475926715,0.999148120540943,0.0127655769160957
"PARA_DE_MINAS",0.98214712001855,0.929521276595745,0.999582637729549,0.0163191999669007
"UNAI",0.981951767328222,0.922979797979798,0.995337007206443,0.0177905598606504
"CURVELO",0.981510845012456,0.91866028708134,1,0.0244779153397427
"FRUTAL_ITURAMA",0.981213195699163,0.912571132953958,1,0.0177162963544619
"UBERLANDIA_ARAGUARI",0.980500347005342,0.901661549575582,0.999037704487796,0.0316607481722805
"SANTOS_DUMONT",0.980085322125728,0.948853615520282,1,0.0161097624039119
"GUAXUPE",0.979658801026446,0.942372881355932,0.998859098687964,0.0158226319472685
"IPATINGA",0.979517217178848,0.713733468972533,1,0.0585296995599123
"MINAS_NOVAS_TURMALINA",0.978376761486457,0.950991831971995,0.993702770780856,0.0119371873537341
"GUANHAES",0.977865237554945,0.944511459589867,0.996230479267636,0.013872311388248
"JANUARIA",0.976119153715261,0.907101727447217,0.99919028340081,0.0207572465133924
"ARAXA",0.974077986886523,0.922461230615308,0.999081304547543,0.0164481732589453
"PECANHA",0.973433990011775,0.913341645885287,1,0.0207001039148503
"TRES_PONTAS",0.972319085847405,0.898977751052315,1,0.0290763749316728
"SAO_JOAO_NEPOMUCENO_BICAS",0.969154784206608,0.914315569487983,0.994736842105263,0.0235624795662029
"FRANCISCO_SA",0.968765714182205,0.902183406113537,1,0.0295613587122584
"VARGINHA",0.968168550016151,0.833957553058677,1,0.0371901374520261
"CARANGOLA",0.968070460822853,0.850452368281001,1,0.0301934351976276
"BRASILIA_DE_MINAS_SAO_FRANCISCO",0.967253831314961,0.881514940931202,0.996898690558236,0.0316613727666026
"SANTO_ANTONIO_DO_AMPARO",0.966968255797686,0.923631990378833,1,0.0290124177708511
"AGUAS_FORMOSAS",0.965614549718586,0.81433607520564,0.994462901439646,0.036950160120908
"POUSO_ALEGRE",0.963074462745233,0.628441171313344,0.994114762138303,0.0734818641998526
"MANHUACU",0.961978204936676,0.827359421243012,1,0.0443362512394051
"JUIZ_DE_FORA_LIMA_DUARTE_BOM_JARDIM_DE_MINAS",0.961497367524429,0.892778085224128,0.999727742989382,0.0367286707860783
"PEDRA_AZUL",0.959230625341728,0.785202863961814,1,0.0502898905664566
"ARACUAI",0.952063082473751,0.819347319347319,0.998921251348436,0.0446621203710992
"SALINAS_TAIOBEIRAS",0.947895423443731,0.698005698005698,0.999583159649854,0.0754803199454804
"PADRE_PARAISO",0.946525350648453,0.896296296296296,0.994123408423115,0.0321024990626949
"NANUQUE",0.944952063824175,0.737824675324675,0.997552019583843,0.070258692356579
"CORACAO_DE_JESUS",0.937296221818203,0.483870967741935,1,0.12428138419729
"ALMENARA",0.931647042929197,0.799445471349353,0.982851543361097,0.0484710168686349
"ITABIRITO",0.925393363367475,0.650479616306954,0.99535192563081,0.0772932447061185
"SAO_JOAO_DEL_REI",0.911571444750766,0.351556264964086,1,0.178629955703116
"UBERABA",0.894997815698938,0.619056936020348,1,0.0998273743676941
"SETE_LAGOAS",0.892930173708019,0.727307471813491,0.998790225018147,0.0884834328257856
"MURIAE",0.778976566549929,0.105733824302998,1,0.328041544997848
